particle concentration [ppm],q [1/A],mean intensity [a.u.],standard deviation of intensity [a.u.],background-subtracted intensity [a.u.],standard deviation of background-subtracted intensity [a.u.]
0.0,0.050810817128584235,29.198423423423424,0.18455953241342044,0.0,0.18455953241342044
0.0,0.05099035594340459,29.055384615384618,0.2660698953814793,0.0,0.2660698953814793
0.0,0.051169894708399985,29.04745011086474,0.2913363500245726,0.0,0.2913363500245726
0.0,0.051349433423395,29.030316742081446,0.27712521827049125,0.0,0.27712521827049125
0.0,0.051528972088214206,29.04747252747253,0.22723021547479058,0.0,0.22723021547479058
0.0,0.05170851070268221,29.0,0.1939391281344209,0.0,0.1939391281344209
0.0,0.051888049266623604,29.015904139433548,0.20631486195207607,0.0,0.20631486195207607
0.0,0.05206758777986296,29.001502145922746,0.21473611059332423,0.0,0.21473611059332423
0.0,0.05224712624222488,28.9633257403189,0.20242727252145054,0.0,0.20242727252145054
0.0,0.05242666465353394,28.98071278825996,0.14520842952004442,0.0,0.14520842952004442
0.0,0.05260620301361472,29.00934782608696,0.1798656555987635,0.0,0.1798656555987635
0.0,0.05278574132229184,28.969762419006475,0.24570063761709227,0.0,0.24570063761709227
0.0,0.052965279579389866,29.01236442516269,0.24390509934937737,0.0,0.24390509934937737
0.0,0.05314481778473338,29.01458773784355,0.19956294517035264,0.0,0.19956294517035264
0.0,0.053324355938147,29.004219409282694,0.2042843464785599,0.0,0.2042843464785599
0.0,0.053503894039455296,28.92331154684096,0.16814543257747355,0.0,0.16814543257747355
0.0,0.053683432088482856,28.92324093816631,0.20560607393391855,0.0,0.20560607393391855
0.0,0.05386297008505428,28.920127118644068,0.21927311052175494,0.0,0.21927311052175494
0.0,0.05404250802899417,28.913742071881607,0.18376654090210137,0.0,0.18376654090210137
0.0,0.05422204592012708,28.95378323108385,0.20327897845351797,0.0,0.20327897845351797
0.0,0.054401583758277645,28.94038461538462,0.22965155503473114,0.0,0.22965155503473114
0.0,0.05458112154327043,28.96252631578948,0.2556535051218945,0.0,0.2556535051218945
